SC_WES_INT5824617,110007436090,EGAN00001225376
SC_WES_INT5824618,110018619660,EGAN00001225377
SC_WES_INT5824619,110016165671,EGAN00001225378
SC_WES_INT5824621,110018122013,EGAN00001225379
SC_WES_INT5824622,110017860919,EGAN00001225380
SC_WES_INT5824623,110012503177,EGAN00001225381
SC_WES_INT5824624,110018481604,EGAN00001225382
SC_WES_INT5824625,110007436059,EGAN00001225383
SC_WES_INT5824626,110018619674,EGAN00001225384
SC_WES_INT5824627,110016165664,EGAN00001225385
SC_WES_INT5824628,110005267367,EGAN00001225386
SC_WES_INT5824629,110006653696,EGAN00001225387
SC_WES_INT5824630,110017860888,EGAN00001225388
SC_WES_INT5824631,110000871047,EGAN00001225389
SC_WES_INT5824632,110018481685,EGAN00001225428
SC_WES_INT5824633,110015221323,EGAN00001225390
SC_WES_INT5824634,110018619696,EGAN00001225391
SC_WES_INT5824635,110016165636,EGAN00001225392
SC_WES_INT5824636,110012996718,EGAN00001225393
SC_WES_INT5824637,110011955414,EGAN00001225394
SC_WES_INT5824638,110017860905,EGAN00001225395
SC_WES_INT5824639,110012667800,EGAN00001225396
SC_WES_INT5824640,110018481638,EGAN00001225397
SC_WES_INT5824641,110007436061,EGAN00001225398
SC_WES_INT5824642,110018619723,EGAN00001225399
SC_WES_INT5824644,110012996722,EGAN00001225400
SC_WES_INT5824645,110001010704,EGAN00001225401
SC_WES_INT5824646,110017860921,EGAN00001225402
SC_WES_INT5824647,110012667807,EGAN00001225403
SC_WES_INT5824648,110018481623,EGAN00001225404
SC_WES_INT5824649,110007436110,EGAN00001225405
SC_WES_INT5824651,110006802162,EGAN00001225406
SC_WES_INT5824652,110007802090,EGAN00001225407
SC_WES_INT5824653,110004446966,EGAN00001225408
SC_WES_INT5824654,110017855151,EGAN00001225409
SC_WES_INT5824655,110012667823,EGAN00001225410
SC_WES_INT5824656,110018481669,EGAN00001225411
SC_WES_INT5824657,110007436039,EGAN00001225412
SC_WES_INT5824658,110005414847,EGAN00001225413
SC_WES_INT5824659,110006802210,EGAN00001225414
SC_WES_INT5824660,110007982961,EGAN00001225415
SC_WES_INT5824662,110017860885,EGAN00001225416
SC_WES_INT5824663,110000871051,EGAN00001225417
SC_WES_INT5824664,110018481670,EGAN00001225418
SC_WES_INT5824665,110007436071,EGAN00001225419
SC_WES_INT5824666,110016165614,EGAN00001225420
SC_WES_INT5824667,110006802186,EGAN00001225421
SC_WES_INT5824668,110007982954,EGAN00001225422
SC_WES_INT5824669,110000879469,EGAN00001225423
SC_WES_INT5824670,110017860867,EGAN00001225424
SC_WES_INT5824671,110012667826,EGAN00001225425
SC_WES_INT5824672,110018481687,EGAN00001225426
SC_WES_INT5824673,110007436078,EGAN00001225427
SC_WES_INT5824675,110006815860,EGAN00001225199
SC_WES_INT5824676,110005267351,EGAN00001225200
SC_WES_INT5824677,110004823657,EGAN00001225201
SC_WES_INT5824678,110017860953,EGAN00001225202
SC_WES_INT5824679,110012667790,EGAN00001225203
SC_WES_INT5824680,110018481672,EGAN00001225204
SC_WES_INT5824682,110005414832,EGAN00001225205
SC_WES_INT5824683,110006815875,EGAN00001225206
SC_WES_INT5824684,110006770137,EGAN00001225207
SC_WES_INT5824685,110011955413,EGAN00001225208
SC_WES_INT5824686,110012503171,EGAN00001225209
